1,挨拶," ［名］(スル)《「挨」は押す、「拶」は迫る意で、本来、禅家で門下の僧に押し問答して、その悟りの深浅を試すこと》
 １ 人に会ったときや別れるときなどに取り交わす礼にかなった動作や言葉。「挨拶を交わす」「時候の挨拶」
 ２ 会合の席や集会で、改まって祝意や謝意などを述べること。また、その言葉。「来賓が挨拶する」
 ３ 相手に対して敬意や謝意などを表すこと。また、その動作や言葉。「転勤の挨拶」「なんの挨拶もない」
 ４ （「御挨拶」の形で）相手の非礼な言葉や態度を皮肉っていう語。「これは御挨拶だね」
 ５ やくざや不良仲間で、仕返しをいう語。
 ６ 争い事の中に立って仲裁すること。また、その人。「挨拶は時の氏神」
 ７ 応答のしかた。口のきき方。
 「馴れたる—にて」〈浮・一代男・二〉
 ８ 人と人との間柄。仲。
 「中川殿とこな様との—が」〈浄・五枚羽子板〉",あいさつ
2,曖昧," ［名・形動］
１ 態度や物事がはっきりしないこと。また、そのさま。あやふや。「曖昧な答え」
 ２ 怪しくて疑わしいこと。いかがわしいこと。また、そのさま。「曖昧宿(やど)」
 [派生] あいまいさ［名］
[用法] あいまい・あやふや——「あいまいな（あやふやな）態度」「あいまいな（あやふやな）返事」の場合は、相通じて用いられる。◇「あいまい」は「責任をあいまいにする」「あいまいな説明でごまかす」のように、意識的に物事をはっきりさせないでおく場合にも用いる。これを「あやふや」で置き換えると不自然である。◇「あやふや」は「あやふやな気持ち」「あやふやな答弁」のように、本人自身が言葉や態度をはっきりさせられずにいる場合に用いることが多い。",あいまい
 [派生] ゆううつさ［名］",ゆううつ